"","statistic","Case Rates","Death Rates","Completed Vaccination Rates","First Dose Rates"
"observed","observed",0.0819997991231416,0.0796140000981261,0.0771455377664144,0.0755138444550607
"expected","expected",-0.000318369945877109,-0.000318369945877109,-0.000318369945877109,-0.000318369945877109
"sd","sd",0.000597382130767723,0.000597865155120535,0.000588208478728804,0.000605515551323838
"p.value","p.value",0,0,0,0
